age,industry,job title,annual salary,bonus,country,years of experience,field years of experience,highest level of education,gender
3,Law,Bookkeeper/Billing Manager,48000.0,4000.0,USA,4,1,3.0,Woman
3,Government and Public Administration,Economist,140000.0,0.0,USA,4,4,4.0,Woman
2,Engineering or Manufacturing,Research Engineer,80000.0,0.0,USA,2,2,3.0,Woman
2,Nonprofits,Volunteer and Giving Coordinator,39000.0,0.0,USA,1,1,3.0,Woman
3,Media & Digital,Editor,125000.0,0.0,USA,4,3,4.0,Woman
3,"Accounting, Banking & Finance",Accounting Manager,110000.0,15000.0,USA,5,4,3.0,Woman
2,Nonprofits,Administrative and HR Manager,50000.0,0.0,USA,2,1,3.0,Woman
3,Education (Higher Education),Senior IRB Analyst,68000.0,0.0,USA,2,1,4.0,Woman
1,Media & Digital,Reporter,41000.0,100.0,USA,1,1,3.0,Woman
2,"Accounting, Banking & Finance",Senior Administrator ,76000.0,10000.0,USA,2,1,3.0,Woman
3,Government and Public Administration,Staff Services Manager II,78000.0,0.0,USA,3,2,4.0,Woman
2,"Accounting, Banking & Finance",Receptionist,37000.0,0.0,USA,1,1,3.0,Woman
4,Engineering or Manufacturing,Lead Engineer,100000.0,50000.0,USA,5,5,3.0,Woman
3,"Marketing, Advertising & PR",Senior Copywriter,43400.0,7440.0,GBR,4,4,3.0,Woman
2,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000.0,0.0,USA,2,2,3.0,Man
2,Computing or Tech,Intelligence Analyst,110000.0,20000.0,USA,3,3,4.0,Man
2,Nonprofits,Project Manager,66625.0,1500.0,USA,3,3,3.0,Woman
3,Computing or Tech,Mobile developer,144600.0,2500.0,USA,2,2,6.0,Woman
2,Engineering or Manufacturing,Engineering specialist,87600.0,1095.0,CAN,4,3,3.0,Woman
2,Retail,"Manager, Total Rewards",71175.0,7300.0,CAN,3,3,3.0,Woman
3,Education (Higher Education),Research and Development Engineer 3,96000.0,0.0,USA,2,2,6.0,Woman
2,Education (Primary/Secondary),Science Teacher (Public High School),53000.0,1000.0,USA,2,0,4.0,Woman
2,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000.0,10000.0,USA,3,3,3.0,Woman
3,Computing or Tech,Managed Services Sales Coordinator,72000.0,3000.0,USA,4,2,4.0,Woman
3,Media & Digital,Editor,37960.0,0.0,CAN,4,4,3.0,Woman
3,Engineering or Manufacturing,Water Resources Engineer,106000.0,0.0,USA,5,4,4.0,Woman
2,Government and Public Administration,Program Officer,115000.0,0.0,USA,2,2,6.0,Woman
2,Business or Consulting,Account Supervisor,100500.0,3000.0,USA,4,2,3.0,Woman
2,Law,Legal Secretary,33200.0,0.0,USA,3,1,2.0,Woman
3,Government and Public Administration,Policy Lead,64480.0,0.0,GBR,4,4,4.0,Woman
2,Education (Higher Education),Coordinator,52000.0,0.0,USA,3,3,3.0,Woman
2,Government and Public Administration,Senior Advisor,57670.0,0.0,CAN,3,2,4.0,Woman
6,Property or Construction,Safety Director,104000.0,25000.0,USA,7,5,3.0,Man
2,Education (Primary/Secondary),Secondary School Educator,54750.0,0.0,CAN,2,1,3.0,Woman
1,Biotechnology,Downstream Process Development Research Associate I,52000.0,0.0,USA,1,1,3.0,Woman
2,Education (Higher Education),Research Programmer,70000.0,0.0,USA,2,1,4.0,Prefer not to answer
2,Nonprofits,"Manager, Natural Climate Solutions Development",84000.0,8400.0,USA,2,2,4.0,Woman
3,Health care,AR Manager,53000.0,0.0,USA,5,4,4.0,Woman
2,Computing or Tech,Technical specialist,34000.0,2000.0,USA,2,2,3.0,Woman
2,Nonprofits,Programming Coordinator,38000.0,0.0,USA,2,1,4.0,Woman
2,Government and Public Administration,City Research Scientist II,87000.0,0.0,USA,2,1,4.0,Man
3,Aerospace contracting,Project engineer ,122000.0,3600.0,USA,4,4,4.0,Woman
2,Insurance,Pricing Analyst,55800.0,2480.0,GBR,2,1,4.0,Woman
2,Engineering or Manufacturing,Marketing Coordinator,45000.0,0.0,USA,2,2,2.0,Woman
3,Computing or Tech,Tech Writer,88000.0,0.0,USA,4,3,3.0,Woman
3,Nonprofits,Supervisory Archivist,71000.0,0.0,USA,4,3,4.0,Woman
4,Education (Higher Education),Program Manager,71000.0,0.0,USA,4,4,6.0,Woman
3,Education (Primary/Secondary),High School Teacher at an independent school,75000.0,0.0,USA,4,4,4.0,Woman
3,Education (Higher Education),Manager of Market Research and Data,80000.0,0.0,USA,5,4,4.0,Woman
3,Computing or Tech,Senior Business Analyst,125000.0,0.0,USA,4,3,4.0,Woman
3,Education (Higher Education),Special Collections Cataloger,65000.0,0.0,USA,4,4,4.0,Woman
4,Education (Primary/Secondary),Teacher ,44640.0,0.0,GBR,5,5,3.0,Woman
2,Nonprofits,Graphic Designer / Webmaster,55000.0,0.0,USA,1,1,3.0,Woman
2,Art & Design,Senior UX Designer,90000.0,1000.0,USA,4,3,3.0,Woman
3,Engineering or Manufacturing,Senior Engineer ,105000.0,13000.0,USA,3,2,3.0,Woman
3,Nonprofits,Office Administrator,43800.0,0.0,CAN,4,4,1.0,Man
3,Education (Higher Education),Digital Archivist,65000.0,0.0,USA,4,3,4.0,Woman
2,Business or Consulting,Associate Program Manager,85000.0,8500.0,USA,2,1,4.0,Woman
2,Sales,CSR,39520.0,0.0,USA,3,1,2.0,Woman
4,Computing or Tech,Director of Engineering,83950.0,0.0,CAN,5,5,4.0,Man
2,Energy,Fuel Efficiency Program Analyst,76000.0,0.0,USA,3,2,3.0,Woman
5,Business or Consulting,Senior Vice President of Marketing,180000.0,60000.0,USA,6,4,4.0,Woman
2,"Accounting, Banking & Finance",Accounting Manager,90000.0,0.0,USA,2,2,4.0,Woman
2,Government and Public Administration,Technical Assistant,23932.0,0.0,GBR,2,2,2.0,Man
5,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000.0,5000.0,USA,6,4,4.0,Woman
4,Computing or Tech,senior web application developer,98166.0,0.0,USA,5,5,3.0,Man
2,Education (Primary/Secondary),Director of Development,63500.0,0.0,USA,2,0,4.0,Woman
5,Environmental regulation,Quality Assurance Lead,58.0,0.0,USA,5,3,4.0,Woman
2,Nonprofits,Program & Administrative Assistant,47700.0,2000.0,USA,2,1,3.0,Woman
5,Computing or Tech,Chief Engineer,87000.0,8000.0,USA,6,6,2.0,Man
3,Media & Digital,Production Co-ordinator,35040.0,0.0,CAN,3,3,3.0,Woman
2,Education (Higher Education),Administrative Support Assistant,39635.0,305.0,USA,1,1,3.0,Woman
2,Government and Public Administration,Administrative Officer,53000.0,0.0,USA,3,2,3.0,Man
4,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255.0,0.0,USA,6,5,2.0,Woman
4,Health care,Customer Service Representative,34361.0,0.0,USA,5,4,3.0,Woman
4,Engineering or Manufacturing,Senior Device Engineer,150000.0,20000.0,USA,5,5,3.0,Woman
2,Hospitality & Events,Graphic Designer,75000.0,0.0,USA,2,2,3.0,Woman
3,Education (Higher Education),Graduate Student,20000.0,0.0,USA,2,1,3.0,Woman
2,Computing or Tech,Senior Financial Analyst,107220.0,16083.0,USA,3,2,4.0,Woman
3,Government and Public Administration,Case Manager,56940.0,0.0,CAN,4,2,3.0,Woman
4,Education (Higher Education),Professor,95000.0,10000.0,USA,5,4,6.0,Man
4,Sales,Office Manager,42000.0,0.0,USA,5,4,4.0,Woman
2,"Accounting, Banking & Finance",Finance Manager,100000.0,5000.0,USA,2,2,4.0,Woman
2,Computing or Tech,Software engineer,62000.0,0.0,GBR,2,1,1.0,Man
3,Education (Higher Education),Medical Education Director,119000.0,2500.0,USA,4,3,3.0,Woman
4,"Accounting, Banking & Finance",Finance acountant,81840.0,6200.0,GBR,5,5,4.0,Woman
3,Transport or Logistics,Program manager,64200.00000000001,3210.0,NLD,4,4,4.0,Woman
2,Education (Higher Education),Associate Director of Donor Relations,75000.0,0.0,USA,4,4,3.0,Woman
3,Education (Higher Education),Assistant Professor of Law,145000.0,15000.0,USA,1,1,6.0,Woman
2,"Accounting, Banking & Finance",investment advisor,69350.0,7300.0,CAN,1,1,3.0,Woman
2,"Marketing, Advertising & PR",Content Writer,48000.0,2000.0,USA,2,2,4.0,Woman
4,"Accounting, Banking & Finance",Assistant Director of Finance,75000.0,10000.0,USA,5,5,3.0,Woman
3,Media & Digital,Digital Marketing Specialist,42000.0,0.0,USA,4,4,3.0,Woman
3,Nonprofits,Archivist,54000.0,100.0,USA,5,3,4.0,Woman
3,Education (Higher Education),Assistant Professor,67160.0,0.0,CAN,2,2,6.0,Woman
4,Government and Public Administration,Head of Public Sector Data Sharing ,63078.8,0.0,GBR,5,4,4.0,Woman
5,Medical Devices,QC Supervisor,60000.0,500.0,USA,6,6,3.0,Woman
5,Nonprofits,Content Development Manager,101500.0,0.0,USA,6,5,3.0,Woman
2,Academic research (Psychology),Clinical Research Assistant II,36883.0,150.0,USA,1,1,3.0,Woman
2,Media & Digital,news editor,85000.0,0.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Senior Administrative Assistant ,62000.0,0.0,USA,2,2,3.0,Woman
3,Computing or Tech,Product Manager,130000.0,0.0,USA,4,4,3.0,Man
5,Education (Higher Education),career services professional,55000.0,0.0,USA,5,5,4.0,Woman
2,Government and Public Administration,Project Coordinator,59015.0,0.0,USA,3,3,3.0,Woman
2,Business or Consulting,"Associate Manager, Education",71000.0,3000.0,USA,2,2,3.0,Woman
4,Social Work,Director,53000.0,0.0,USA,5,3,4.0,Woman
2,public library,Senior Librarian,63000.0,0.0,USA,2,2,4.0,Woman
3,Engineering or Manufacturing,Project Estimator,95000.0,5000.0,USA,5,5,3.0,Woman
3,Surveying ,Accounts manager ,55250.0,0.0,AUS,4,3,4.0,Man
3,Nonprofits,Customer Advocate,35000.0,3000.0,USA,4,4,2.0,Woman
1,Hospitality & Events,Customer Service Specialist,33280.0,500.0,USA,2,1,3.0,Prefer not to answer
3,"Accounting, Banking & Finance",Accounts Payable Manager,56000.0,2500.0,USA,4,3,2.0,Woman
3,Education (Higher Education),Associate Director,85000.0,0.0,USA,4,4,3.0,Woman
3,Education (Higher Education),Editor,62000.0,0.0,USA,4,4,3.0,Woman
2,Law,Staff Attorney,74000.0,0.0,USA,3,1,4.0,Prefer not to answer
2,Nonprofits,Program Associate,63000.0,1000.0,USA,2,1,3.0,Woman
2,Recruitment or HR,Senior People Advisor,55800.0,12400.0,GBR,4,3,3.0,Woman
2,Education (Higher Education),English as a Second Language Teacher,19260.0,0.0,ESP,3,2,3.0,Woman
3,Nonprofits,Online Sales Support Manager,86000.0,6000.0,USA,4,3,3.0,Woman
1,PhD,PhD Candidate,23560.0,0.0,GBR,1,0,4.0,Man
3,Education (Higher Education),Research Technologist,42000.0,0.0,USA,4,4,4.0,Man
5,Biopharma,RIM Manager,114000.0,30000.0,USA,5,3,3.0,Man
4,Insurance,Senior Client Service Representative,73000.0,0.0,USA,6,6,1.0,Woman
3,Nonprofits,Funding Manager,66960.0,0.0,GBR,4,4,3.0,Woman
4,Health care,Clinical analyst,100000.0,0.0,USA,5,4,4.0,Woman
2,Publishing,Editor,33480.0,0.0,GBR,4,2,3.0,Woman
1,Government and Public Administration,Policy Analyst ,60129.0,3000.0,USA,1,0,4.0,Woman
4,STEM research,Research Scientist,135000.0,0.0,USA,4,4,6.0,Woman
2,Computing or Tech,Service Designer,130000.0,0.0,USA,4,2,3.0,Woman
2,Libraries,Librarian,26000.0,0.0,USA,1,1,4.0,Woman
2,"Accounting, Banking & Finance",Senior Accountant,60000.0,0.0,USA,2,2,4.0,Woman
3,Nonprofits,Administrative Assistant,37000.0,0.0,USA,4,2,3.0,Woman
2,Engineering or Manufacturing,User experience specialist,85000.0,3000.0,USA,2,2,3.0,Woman
3,Media & Digital,Self-employed writer,45000.0,20000.0,USA,4,4,3.0,Woman
2,Nonprofits,Director of Development,92000.0,0.0,USA,3,2,4.0,Woman
2,Health care,occupational therapist,37.45,0.0,FIN,1,1,3.0,Woman
2,Engineering or Manufacturing,Production Technician,65000.0,4000.0,USA,2,1,3.0,Man
3,"Marketing, Advertising & PR",Graphic Designer,35000.0,0.0,USA,4,4,3.0,Woman
2,"Accounting, Banking & Finance",Compliance Officer,74000.0,1000.0,USA,3,2,3.0,Woman
2,Engineering or Manufacturing,Director of Intelligence,102500.0,20000.0,USA,2,2,3.0,Man
2,Government and Public Administration,Program Analyst,117500.0,1500.0,USA,3,2,4.0,Prefer not to answer
3,Nonprofits,Coordinator of Survivor Services,70000.0,0.0,USA,4,4,4.0,Woman
4,Computing or Tech,Software Development Manager,140000.0,5000.0,USA,5,4,2.0,Woman
3,Architecture,Project Architect,58000.0,4000.0,USA,4,3,4.0,Woman
3,Nonprofits,HR director,61200.0,0.0,USA,4,4,4.0,Woman
2,"Marketing, Advertising & PR",Marketing Director ,105400.0,12400.0,GBR,3,3,3.0,Woman
2,Recruitment or HR,Talent Acquisition Specialist,66000.0,0.0,USA,1,1,3.0,Woman
3,Computing or Tech,technical support specialist,70000.0,0.0,USA,3,2,3.0,Woman
2,Education (Higher Education),Communications Specialist,52000.0,0.0,USA,2,2,3.0,Woman
4,Property or Construction,CAD Manager,75500.0,5000.0,USA,5,4,2.0,Woman
2,"Marketing, Advertising & PR",Content Strategist and Writer,57000.0,0.0,USA,3,1,4.0,Woman
2,Nonprofits,Associate,83200.0,0.0,USA,3,3,4.0,Woman
1,"Marketing, Advertising & PR","Manager, Planning",77500.0,0.0,USA,1,1,3.0,Woman
3,Retail,Fulfillment Expert,31200.0,0.0,USA,4,0,3.0,Woman
2,Health care,Midwife,38440.0,1240.0,GBR,1,0,4.0,Woman
2,Academic Medicine ,Administrative Specialist,55000.0,2500.0,USA,3,2,3.0,Man
2,Retail,Head of Data & Analytics,100000.0,0.0,USA,3,3,3.0,Woman
2,Computing or Tech,Systems Analyst,80000.0,0.0,USA,2,1,4.0,Woman
2,Education (Higher Education),Librarian,52500.0,0.0,USA,2,2,4.0,Woman
2,Media & Digital,UX designer,38520.0,0.0,FRA,1,1,4.0,Woman
2,"Accounting, Banking & Finance",Lead business controls specialist,94000.0,0.0,USA,1,1,3.0,Woman
2,Engineering or Manufacturing,Product Engineer,57000.0,0.0,USA,2,2,3.0,Woman
3,Computing or Tech,Senior Technical Writer,83000.0,8000.0,USA,3,2,3.0,Woman
3,Nonprofits,Senior Director,90000.0,0.0,USA,4,4,3.0,Woman
3,Hospitality & Events,Hotel Sales Manager,66950.0,0.0,USA,3,2,3.0,Woman
2,Government and Public Administration,Planner,76000.0,0.0,USA,1,1,3.0,Woman
2,Engineering or Manufacturing,Principal Engineer,64480.0,7440.0,GBR,3,3,4.0,Woman
2,Nonprofits,Information and Program Manager,70000.0,5000.0,USA,3,2,4.0,Woman
2,Education (Higher Education),Assistant Professor,60000.0,2500.0,USA,1,1,6.0,Prefer not to answer
3,Engineering or Manufacturing,Media and PR,80000.0,0.0,USA,4,4,4.0,Woman
3,Nonprofits,Technical assistance provider,70000.0,0.0,USA,4,4,4.0,Woman
2,Education (Higher Education),Library Specialist,34299.0,0.0,USA,3,1,4.0,Woman
2,Computing or Tech,Strategic Operations and Programme Manager,111600.0,0.0,GBR,4,4,4.0,Woman
3,Education (Higher Education),"Assistant Director, Student Affairs",50000.0,0.0,USA,4,4,4.0,Woman
3,Hospitality & Events,Director of Client Services,85000.0,0.0,USA,4,2,3.0,Woman
3,Retail,Loss prevention manager,87000.0,15000.0,USA,3,1,1.0,Woman
3,Law,Associate Attorney,125000.0,0.0,USA,4,1,4.0,Woman
3,Commercial Real Estate ,Administrative Associate,55000.0,5000.0,USA,4,2,2.0,Woman
2,Pet care industry (dog training/walking),Operations Manager,48500.0,0.0,USA,2,1,3.0,Woman
3,Engineering or Manufacturing,Software engineer,139000.0,9000.0,USA,4,4,3.0,Woman
2,Law,Paralegal / Legal Assistant,54080.0,500.0,USA,4,4,3.0,Woman
3,Insurance,Manager & Actuary,170000.0,30000.0,USA,4,3,4.0,Woman
2,"Marketing, Advertising & PR",Marketing Manager,43800.0,0.0,CAN,3,3,3.0,Woman
4,Education (Primary/Secondary),Librarian,70000.0,1000.0,USA,5,4,4.0,Man
2,Nonprofits,Communications Associate,53000.0,0.0,USA,2,1,3.0,Woman
3,Health care,Cytotechnologist ,82160.0,0.0,USA,4,4,4.0,Woman
2,Recruitment or HR,Onboarding Partner,71000.0,0.0,USA,4,1,3.0,Woman
1,Engineering or Manufacturing,Graduate Research Assitant,25700.0,0.0,USA,2,2,3.0,Woman
2,Politics,Deputy C-level,105000.0,0.0,USA,3,3,3.0,Woman
3,Education (Higher Education),"Librarian, non-supervisory",77000.0,0.0,USA,4,4,4.0,Woman
3,Health care,Content Strategist,50000.0,0.0,USA,4,2,4.0,Woman
2,University administration,Programme Administrator,31269.08,0.0,GBR,2,2,3.0,Woman
2,Government and Public Administration,Public Service Tech,31616.0,0.0,USA,2,1,3.0,Prefer not to answer
3,Government and Public Administration,EOS,95000.0,2000.0,USA,4,3,4.0,Woman
1,Business or Consulting,Data Analyst,62000.0,0.0,USA,0,0,3.0,Woman
3,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000.0,7500.0,USA,4,3,3.0,Woman
2,Education (Primary/Secondary),High school teacher ,71000.0,0.0,USA,2,2,3.0,Prefer not to answer
4,Computing or Tech,Business Analyst,88000.0,0.0,USA,5,4,4.0,Woman
2,Property or Construction,Assistant to Property Managers,31500.0,0.0,USA,3,1,3.0,Woman
2,Health care,IT Training Specialist,76000.0,0.0,USA,2,1,4.0,Woman
3,Health care,Principal Statistical Programmer,165000.0,30000.0,USA,5,5,3.0,Prefer not to answer
2,"Accounting, Banking & Finance",Reporting Analyst ,45760.0,0.0,USA,4,1,2.0,Woman
2,"Marketing, Advertising & PR",Communications Manager,86000.0,0.0,USA,2,2,3.0,Woman
2,Engineering or Manufacturing,Project Manager,57115.2,0.0,CAN,2,2,4.0,Woman
2,Education (Higher Education),Admissions Advisor,56000.0,0.0,USA,3,2,4.0,Woman
2,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000.0,2000.0,USA,3,1,3.0,Woman
2,Law,Associate,125000.0,0.0,USA,2,2,4.0,Woman
2,Property or Construction,Assistant Project Manager,55000.0,0.0,USA,2,1,3.0,Woman
3,Computing or Tech,Supply chain manager,125000.0,50000.0,USA,4,4,3.0,Woman
2,Health care,RN,60000.0,0.0,USA,3,1,3.0,Woman
4,Utilities & Telecommunications,Land Analyst,60320.0,0.0,USA,5,3,2.0,Woman
3,Pharmaceuticals,Regulatory affairs manager ,125000.0,18750.0,USA,2,1,6.0,Woman
4,Education (Primary/Secondary),teacher,94000.0,0.0,USA,5,5,6.0,Woman
2,Health care,NP-PHC,71540.0,0.0,CAN,3,1,4.0,Woman
3,Government and Public Administration,Administrative Assistant,49000.0,0.0,USA,4,4,2.0,Woman
3,Nonprofits,Director of Development,120000.0,0.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Teaching Assistant,28000.0,0.0,USA,1,1,4.0,Prefer not to answer
5,Recruitment or HR,Consultant,135000.0,0.0,USA,6,6,3.0,Woman
3,Education (Higher Education),Advancement Accounting Assistant,40575.0,0.0,USA,3,3,3.0,Woman
2,Nonprofits,Senior monitoring & evaluation adviser ,75500.0,0.0,USA,3,3,4.0,Woman
2,"Marketing, Advertising & PR",Copy supervisor,115000.0,12000.0,USA,2,2,3.0,Woman
3,Government and Public Administration,Policy analyst ,70000.0,0.0,USA,3,2,4.0,Woman
2,Computing or Tech,Visual Designer,110000.0,1400.0,USA,2,2,3.0,Woman
1,Agriculture or Forestry,Engineering Student Trainee,29000.0,0.0,USA,0,0,2.0,Woman
5,"Marketing, Advertising & PR",Graphic Designer,61000.0,0.0,USA,6,6,3.0,Woman
5,Nonprofits,Information Technology Specialist,47250.0,0.0,USA,4,2,4.0,Woman
3,Engineering or Manufacturing,Sr. Piping Designer,96000.0,4000.0,USA,4,4,2.0,Man
3,Nonprofits,Digital Marketing Specialist,45000.0,0.0,USA,4,4,3.0,Woman
2,Philanthropy,Senior Program Support Associate,72000.0,0.0,USA,1,1,4.0,Woman
2,Government and Public Administration,Editor,78167.0,0.0,USA,2,2,4.0,Woman
2,"Accounting, Banking & Finance",Senior Operations Manager,132500.0,55000.0,USA,3,3,3.0,Woman
4,Computing or Tech,"IT Manager, Financial Systems",124000.0,0.0,USA,5,5,4.0,Woman
4,"Marketing, Advertising & PR",Sr Analytic Consultant,108000.0,0.0,USA,5,5,3.0,Man
3,"Accounting, Banking & Finance",Principal Consultant ,110000.0,5000.0,USA,4,4,4.0,Woman
3,Education (Higher Education),"Assistant director, communications",83000.0,0.0,USA,4,2,4.0,Woman
2,Engineering or Manufacturing,Geostructural Design Engineer,110000.0,14000.0,USA,3,3,4.0,Woman
2,Education (Higher Education),Student Success Center Coordinator,45000.0,0.0,USA,2,2,4.0,Woman
2,Government and Public Administration,Editor,91000.0,2000.0,USA,4,2,6.0,Woman
3,Engineering or Manufacturing,QC Chemistry Manager,117000.0,17550.0,USA,4,4,4.0,Woman
4,Insurance,Supervisor ,59000.0,7000.0,USA,5,5,2.0,Woman
3,Education (Higher Education),Research administrator ,71697.0,0.0,USA,3,2,4.0,Woman
4,Real Estate,Senior Property Manager,90000.0,9000.0,USA,6,5,2.0,Woman
3,Education (Higher Education),Director of Alumni Communications,120000.0,0.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Admin Assistant,52000.0,0.0,USA,2,2,4.0,Prefer not to answer
2,Property or Construction,Administrator,44895.0,0.0,CAN,3,3,2.0,Woman
3,Transport or Logistics,Executive Administrator ,80000.0,5000.0,USA,5,5,1.0,Woman
2,Transport or Logistics,HR Business Partner,56000.0,0.0,USA,3,2,2.0,Woman
4,Engineering or Manufacturing,Product Support Representative,47840.0,2000.0,USA,5,5,3.0,Man
4,Consulting,Senior Hazard Mitigation Manager,150000.0,20000.0,USA,5,4,4.0,Woman
4,Computing or Tech,Senior Manager of Customer Enablement,150000.0,0.0,USA,5,5,4.0,Woman
4,Environmental Consulting,Senior Consultant,105000.0,5000.0,USA,5,5,6.0,Woman
2,"Accounting, Banking & Finance",Equity Analyst,100000.0,5000.0,USA,1,1,3.0,Woman
3,Engineering or Manufacturing,Project Manager-Tech Lead,97500.0,8000.0,USA,4,4,4.0,Woman
2,"Accounting, Banking & Finance",Operations,100000.0,50000.0,USA,2,2,3.0,Man
4,Health care,Senior Project Specialist,125000.0,0.0,USA,5,3,3.0,Woman
3,Government and Public Administration,Public Library Director,63000.0,0.0,USA,4,4,4.0,Woman
2,Sales,Business Development Manager ,62000.0,62000.0,GBR,3,2,3.0,Woman
3,Archaeology / Cultural Resource Management,Principal Investigator,79000.0,1000.0,USA,4,4,4.0,Woman
2,Museum,Museum Technician,52000.0,0.0,USA,2,1,4.0,Man
2,Government and Public Administration,Economist,109000.0,3000.0,USA,2,2,4.0,Woman
4,Education (Higher Education),Associate professor,66960.0,0.0,GBR,5,5,6.0,Woman
4,Media & Digital,editor,120000.0,0.0,USA,5,5,4.0,Woman
2,Education (Higher Education),HR Adviser,50360.12,0.0,GBR,3,2,3.0,Woman
3,Public library,Managing Librarian,70000.0,2400.0,USA,4,2,4.0,Woman
3,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000.0,2500.0,USA,4,4,3.0,Woman
2,Education (Higher Education),Event Officer,42340.0,0.0,CAN,2,1,3.0,Woman
2,Government and Public Administration,Office Administrator,42340.0,0.0,CAN,3,2,2.0,Woman
1,"Accounting, Banking & Finance",Accountant ,45000.0,0.0,USA,0,0,3.0,Woman
3,Government and Public Administration,Senior Director of Public Policy,70000.0,5000.0,USA,3,3,4.0,Woman
2,Recruitment or HR,Talent Management Manager,115000.0,0.0,USA,2,2,3.0,Man
3,Agriculture or Forestry,Research assistant,17000.0,0.0,USA,4,2,4.0,Prefer not to answer
2,Government and Public Administration,Analyst ,64000.0,0.0,USA,2,0,3.0,Woman
5,Property or Construction,Accounting Manager,66000.0,0.0,USA,6,5,3.0,Woman
4,Engineering or Manufacturing,Quality Manager ,80000.0,4000.0,USA,5,4,3.0,Woman
2,Government and Public Administration,Policy Analyst,78000.0,0.0,USA,2,1,4.0,Woman
1,Law,Attorney,65000.0,5000.0,USA,1,1,4.0,Woman
6,Health care,RN,110000.0,10000.0,USA,7,6,4.0,Woman
3,"Accounting, Banking & Finance",Bookkeeper self-employed,114400.0,0.0,USA,5,4,3.0,Woman
2,Recruitment or HR,Senior Recruiter,111500.0,0.0,USA,4,4,4.0,Woman
2,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300.0,0.0,USA,2,1,3.0,Woman
3,Computing or Tech,Software Engineer,156000.0,189000.0,USA,5,5,4.0,Prefer not to answer
4,Computing or Tech,Agile Coach,130000.0,13000.0,USA,4,3,3.0,Woman
2,Public Library,Children's Librarian,75000.0,0.0,USA,3,3,4.0,Woman
2,Education (Higher Education),Librarian ,48360.0,0.0,GBR,4,3,4.0,Woman
3,Computing or Tech,principle product marketing manager,126000.0,15000.0,USA,4,4,3.0,Woman
4,Engineering or Manufacturing,Sr. Environmental Manager,125000.0,3500.0,USA,5,5,3.0,Man
2,Nonprofits,Program Manager,63510.0,0.0,CAN,1,1,6.0,Woman
3,Education (Higher Education),Executive Office & Admin Specialist,38480.0,0.0,USA,4,2,3.0,Woman
3,Nonprofits,Early Intervention developmental specialist,36000.0,1000.0,USA,4,1,4.0,Man
2,Nonprofits,Grants coordinator,55000.0,0.0,USA,3,1,4.0,Woman
